"","X","Recording","DATE","TIME","WP","Treatment","DIAH","DICDV","HD","VD","H.app.d","V.app.d","Other","X.1","X.2","n_double","n_quank","n_rapid","n_squeak","n_wurp","n_squeak 2","avg.rate_double","avg.rate_quank","avg.rate_rapid","avg.rate_squeak","avg.rate_wurp","avg.rate_squeak 2","avg.quankrate","tot.notes","tot.quanks"
"24",24,"02222024_trial21","2/22/24","10:09",1612,"More 1","N","N",19.6,5.6,0,0,"Was looking during playback but neither the male nor female responded much to the call.",NA,NA,0,0,0,0,13,NA,NA,NA,NA,NA,6.00983697512816,NA,NA,13,0
"25",25,"02232024_trial22","2/23/24","11:05",1613,"Control 1","N","N",14.6,7.6,0,0,"Neither in the pair responded. Looked briefly but quickly went back to foraging ",NA,NA,0,0,0,0,31,NA,NA,NA,NA,NA,5.57347739730717,NA,NA,31,0
"26",26,"02262024_trial23","2/26/24","10:19",1614,"More 3","N","N",6.2,8.2,0,0,"
",NA,NA,0,19,0,0,8,NA,NA,5.81194107224108,NA,NA,6.62275564983164,NA,5.81194107224108,27,19
"27",27,"02262024_trial24","2/26/24","11:51",1615,"Control 2","N","N",14.6,7.2,0,0,"
",NA,NA,0,0,0,7,46,NA,NA,NA,NA,19.350244904845,5.36185108821049,NA,NA,53,0
"28",28,"","2/27/24","9:35",1616,"More 1","N","N",11.4,0.2,0,0,"No vocal response. Both the female and male stood still the whole time, but were looking in the direction of the speaker. They both had their feathers fluffed up as if they were cold. Much colder and windier than previous days. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,"02292024_trial25","2/29/24","10:13",1617,"Less 2","N","N",21.6,12.4,0,0,"End position was further away in both height and distance. Looked briefly then went back to foraging shortly after.",NA,NA,0,5,0,3,0,NA,NA,7.58683983104317,NA,2.73643865991756,NA,NA,7.58683983104317,8,5
"30",30,"","2/29/24","10:34",1618,"Less 1","N","N",14.6,12,0,0,"No vocal response. Recorder died during trial but they did not make any calls during the trial. A neighboring nuthatch pair was responding.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,"02292024_trial26","2/29/24","11:20",1619,"More 2","N","N",23.2,4.4,0,0,"The were foraging most of the time. Female was looking in our direction for some time, but male remained foraging. The male had a small vocal response. I cut the audio in two on this trial because I was scared of the recorder dying. ",NA,NA,7,31,0,2,0,NA,4.56031474569244,5.6888320300832,NA,13.4713535703772,NA,NA,5.6888320300832,40,38
"32",32,"03012024_trial27","3/1/24","9:45",1620,"More 2","Y","Y",36.6,3.6,0,3.8,"Negative approach but flew directly over a.u",NA,NA,0,5,0,7,0,NA,NA,4.28925556990077,NA,11.2186451222093,NA,NA,4.28925556990077,12,5
"33",33,"03012024_trial28","3/1/24","10:34",1621,"Less 3","N","N",52.2,13.2,0,0,"",NA,NA,0,31,0,1,0,NA,NA,4.66853948521649,NA,13.6355762438155,NA,NA,4.66853948521649,32,31
"34",34,"03052024_trial29","3/5/24","10:09",1622,"More 3","N","N",14.4,10.6,0,0,"No vocal response ",NA,NA,5,18,0,6,122,NA,4.48733725738646,7.31898376447666,NA,14.3689270989784,5.58739608481189,NA,7.31898376447666,151,23
"35",35,"03052024_trial30","3/5/24","10:53",1623,"Less 1","N","N",27.8,7.6,0,0,"No response. Started making vocal response when joined territory dispute.",NA,NA,2,5,0,2,0,NA,2.21137837454211,5.81302147646901,NA,2.01659375140923,NA,NA,5.81302147646901,9,7
"36",36,"03082024_trial31","3/8/24","10:38",1624,"More 1","Y","N",10.8,4.2,2.6,0,"",NA,NA,0,17,0,12,0,NA,NA,4.773591488908,NA,11.5401974066963,NA,NA,4.773591488908,29,17
"37",37,"03082024_trial32","3/8/24","11:23",1625,"Less 2","N","Y",19.4,0.2,0,2,"",NA,NA,0,0,18,2,0,NA,NA,NA,12.7573321059987,4.87834488412389,NA,NA,NA,20,18
